Governing legislation,Types of incentives,Where to apply,context
ITA/S13E,Exemption of international shipping profits,MPA www.mpa.gov.sg,applying-for-tax-incentives table_0
ITA/S13G,Exemption of income of venture company,Enterprise Singapore www.enterprisesg.gov.sg,applying-for-tax-incentives table_0
ITA/S13P,Exemption of income of shipping investment enterprise,MPA www.mpa.gov.sg,applying-for-tax-incentives table_0
ITA/S14B,"Further deduction for expenses relating to approved trade fairs, trade exhibitions, trade missions or to maintenance of overseas trade office",Enterprise Singapore www.enterprisesg.gov.sg,applying-for-tax-incentives table_0
ITA/S14E,Further deduction for expenditure on research and development project,EDB www.edb.gov.sg,applying-for-tax-incentives table_0
ITA/S43C,Exemption and concessionary rate of tax for insurance and reinsurance business,MAS www.mas.gov.sg,applying-for-tax-incentives table_0
ITA/S43E,Concessionary rate of tax for Finance and Treasury Centre,EDB www.edb.gov.sg,applying-for-tax-incentives table_0
ITA/S43I,Concessionary rate of tax for global trading company and qualifying company,Enterprise Singapore www.enterprisesg.gov.sg,applying-for-tax-incentives table_0
ITA/S43J,Concessionary rate of tax for financial sector incentive company,MAS www.mas.gov.sg,applying-for-tax-incentives table_0
ITA/S43L,Concessionary rate of tax for shipping investment manager,MPA www.mpa.gov.sg,applying-for-tax-incentives table_0
ITA/S43P,Concessionary rate of tax for container investment enterprise,MPA www.mpa.gov.sg,applying-for-tax-incentives table_0
ITA/S43Q,Concessionary rate of tax for container investment manager,MPA www.mpa.gov.sg,applying-for-tax-incentives table_0
ITA/S43T,Concessionary rate of tax for ship broking and forward freight agreement trading,MPA www.mpa.gov.sg,applying-for-tax-incentives table_0
EEIA/ Part 2,Pioneer Industries,EDB www.edb.gov.sg,applying-for-tax-incentives table_0
EEIA/ Part 3,Pioneer Service Companies,EDB www.edb.gov.sg,applying-for-tax-incentives table_0
EEIA/ Part 4,Development and Expansion Incentive,EDB www.edb.gov.sg,applying-for-tax-incentives table_0
EEIA/Part 8,Investment Allowances,EDB www.edb.gov.sg,applying-for-tax-incentives table_0
