S/No.,Unique Entity Number (UEN) / GST registration number,Name of approved person,Date of approval,Status,context
1,198100533E,Bomin Bunker Oil Pte Ltd,09/10/2007,Effective till 03/12/2018,approved-marine-fuel-trader-(mft)-scheme             Businesses that are approved under the Approved MFT Scheme are listed in the table below.        
2,196600436K,BP Singapore Pte. Limited,01/02/2011,Active,approved-marine-fuel-trader-(mft)-scheme             Businesses that are approved under the Approved MFT Scheme are listed in the table below.        
3,200811016Z,Brightoil Petroleum (S'pore) Pte. Ltd.,25/05/2010,Effective till 24/05/2019,approved-marine-fuel-trader-(mft)-scheme             Businesses that are approved under the Approved MFT Scheme are listed in the table below.        
4,199606769Z,Bunker House Petroleum Pte Ltd,01/08/2024,Active,approved-marine-fuel-trader-(mft)-scheme             Businesses that are approved under the Approved MFT Scheme are listed in the table below.        
5,198601202G,Cathay Marine Fuel Oil Trading Pte Ltd,24/02/2006,Active,approved-marine-fuel-trader-(mft)-scheme             Businesses that are approved under the Approved MFT Scheme are listed in the table below.        
6,200006955E,Chemoil International Pte. Ltd.,08/12/2011,Effective till 31/10/2018,approved-marine-fuel-trader-(mft)-scheme             Businesses that are approved under the Approved MFT Scheme are listed in the table below.        
7,198802125N,Consort Bunkers Pte Ltd,07/01/2005,Active,approved-marine-fuel-trader-(mft)-scheme             Businesses that are approved under the Approved MFT Scheme are listed in the table below.        
8,199802984C,Costank (S) Pte Ltd,03/02/2005,Effective till 03/02/2020,approved-marine-fuel-trader-(mft)-scheme             Businesses that are approved under the Approved MFT Scheme are listed in the table below.        
9,200000671E,Equatorial Marine Fuel Management Services Pte Ltd,08/12/2010,Active,approved-marine-fuel-trader-(mft)-scheme             Businesses that are approved under the Approved MFT Scheme are listed in the table below.        
10,199801317C,Fratelli Cosulich Bunkers (S) Pte Ltd,27/05/2005,Effective till 22/02/2021,approved-marine-fuel-trader-(mft)-scheme             Businesses that are approved under the Approved MFT Scheme are listed in the table below.        
11,198102710H,Glencore Singapore Pte Ltd,04/02/2019,Active,approved-marine-fuel-trader-(mft)-scheme             Businesses that are approved under the Approved MFT Scheme are listed in the table below.        
12,199708501D,Global Energy Trading Pte Ltd,24/01/2005,Active,approved-marine-fuel-trader-(mft)-scheme             Businesses that are approved under the Approved MFT Scheme are listed in the table below.        
13,198803987E,Golden Island Pte. Ltd.,31/01/2005,Active,approved-marine-fuel-trader-(mft)-scheme             Businesses that are approved under the Approved MFT Scheme are listed in the table below.        
14,199305858D,Grandeur Trading & Services Pte Ltd,10/07/2017,Active,approved-marine-fuel-trader-(mft)-scheme             Businesses that are approved under the Approved MFT Scheme are listed in the table below.        
15,197501519K,Hin Leong Marine International (Pte) Ltd,11/12/2017,Effective till 10/12/2020,approved-marine-fuel-trader-(mft)-scheme             Businesses that are approved under the Approved MFT Scheme are listed in the table below.        
16,198103248W,Hong Lam Marine Pte Ltd,19/06/2017,Effective till 18/12/2018,approved-marine-fuel-trader-(mft)-scheme             Businesses that are approved under the Approved MFT Scheme are listed in the table below.        
17,201115209N,Inter-Pacific Petroleum Pte. Ltd.,25/11/2013,Effective till 24/11/2019,approved-marine-fuel-trader-(mft)-scheme             Businesses that are approved under the Approved MFT Scheme are listed in the table below.        
18,200006841N,Kenoil Marine Services Pte Ltd,8/6/2022,Active,approved-marine-fuel-trader-(mft)-scheme             Businesses that are approved under the Approved MFT Scheme are listed in the table below.        
