Deductible,Non-Deductible,context
Accounting fee Administrative expenses Advertisement Auditors' remuneration,Amortisation,business-expenses Example
Bad debts (trade debtors)Bank chargesBook-keeping servicesBorrowing costs as a substitute for interest expense or to reduce interest costs,Bad debts (non-trade debtors),business-expenses Example
"Carbon credits CommissionCPF, skills development levyCPF-related Statutory contributions to CPF Ad-hoc contributions to employees' CPF MediSave Account via the Additional MediSave Contribution Scheme Topping-up Employees' CPF Retirement Accounts/ Special Accounts on Their Behalf Voluntary cash contributions to self-employed persons' MediSave Account",Certificate of entitlement (COE) for motor vehicles CPF-related Voluntary contributions to CPF (refers to CPF contributions exceeding the statutory rate)Topping-up Employees' CPF MediSave Accounts on Their Behalf Interest incurred on late CPF contributions,business-expenses Example
Digital taxes imposed in the form of turnover taxes (not income taxes) Directors' fees  Directors' remuneration,Depreciation (you may instead claim capital allowances) Digital taxes imposed as income taxes Dividend payments made on preference shares Donations,business-expenses Example
Employee Equity-Based Remuneration (EEBR) SchemeEmployment Assistance Payment (EAP) Entertainment Exchange loss (trade and revenue in nature) Exhibition expenses,Entrance fee (country club or other clubs) Exchange loss (non-trade or capital in nature) Expenses incurred before commencement of business,business-expenses Example
"Foreign worker levy (FWL) (only the reduced FWL incurred by your company, after deducting the FWL rebate for the corresponding period, is allowed tax deduction)",Fixed assets written off Fixed assets acquisition cost (you may instead claim capital allowances) Fines,business-expenses Example
,Goodwill payment,business-expenses Example
Income tax of employee borne by employer (in accordance with employment contract) Insurance premium Insurance for underwriting bad trade debts Interest expenses Interest incurred on late payment of fees to a Management Corporation for a Strata Title Plan (MCST) Interest incurred on loans to re-finance prior loans or borrowings Intellectual property (IP) licensing expenditure,Impairment loss on non-trade debts Singapore income tax and any tax on income in country/ territory outside Singapore  Installation of fixed assets Interest expenses on non-income producing assets (interest adjustment),business-expenses Example
"Legal and professional fees (trade and revenue transactions)Upfront lease expenses incurred by tenants (commission, advertising, legal fees and stamp duty incurred in obtaining, renewing or extending leases), subject to Section 14ZE of the Income Tax Act 1947",Legal and professional fees (non-trade or capital transactions),business-expenses Example
"Medical expenses (restricted  to 1%/ 2% of total remuneration if company is under Portable Medical Benefits Scheme (PMBS) or Transferable Medical Insurance Scheme (TMIS))  Motor vehicle expenses (such as upkeep, maintenance, running and financing costs of goods/ commercial vehicles e.g. van, lorry and bus)","Medical expenses (amount exceeding 1%/ 2% of total remuneration if company is under PMBS or TMIS) Motor vehicle expenses (S-plated, Q-plated and RU-plated cars)",business-expenses Example
Office upkeep,,business-expenses Example
Periodicals and newspapers Postage Printing and stationery Property tax Provision for bad and doubtful debts (specific) (note impairment loss on trade debts) Provision for obsolete stocks (specific) Additional Petrol Duty Rebate (Budget 2021),Penalties Prayer expensesPrepaid expenses (not relating to the relevant basis period) Private and domestic expenses (expenses not incurred for business purpose) Private hire car Provision for bad and doubtful debts (general) (note impairment loss on trade debts) Provision for obsolete stocks (general),business-expenses Example
"Reinstatement costs (expenses  incurred to reinstate premises to its original condition prior to vacating it at the end of the tenancy agreement) Rental of business premises Registration of patents, trademarks, designs and plant varieties Repairs and maintenance Research and development Road tax rebate (Budget 2021) Retrenchment payments Contractual retrenchment payments Ex-gratia retrenchment payments and  outplacement support costs,  where there is no complete cessation of business","Renovation or refurbishment works (you may claim Section 14N deduction for qualifying expenditure) Retrenchment payments Ex-gratia retrenchment payments and  outplacement support costs,  where there is a complete cessation of business",business-expenses Example
"Secretarial fees Staff remunerations (salary, bonus and allowances) Staff training Staff welfare/ benefits Statutory and Regulatory expenses Stock obsolescence Supplementary Retirement Scheme (SRS)",,business-expenses Example
Tax fees (service fees paid to tax agent) Telephone bills Transport (public transport and goods/ commercial vehicles) Travelling,"Transport (S-plated, Q-plated and RU-plated cars)",business-expenses Example
Wages Water and electricity,Withholding tax on interest payments borne by companies on-behalf of non-residents,business-expenses Example
