Jurisdiction,First Reporting Year,Date of Signing,Date of Entry into Force,First Submission from SGFIs by (First Exchange by),context
"Denmark (PDF, 177KB)",2017,13 March 2017,5 June 2017,31 May 2018 (September 2018),common-reporting-standard-(crs)             Bilateral CAAs on Automatic Exchange of Financial Account Information        
"Finland (PDF, 99KB)",2017,22 November 2016,31 January 2017,31 May 2018 (September 2018),common-reporting-standard-(crs)             Bilateral CAAs on Automatic Exchange of Financial Account Information        
"Iceland (PDF, 178KB)",2017,13 December 2016,31 January 2017,31 May 2018 (September 2018),common-reporting-standard-(crs)             Bilateral CAAs on Automatic Exchange of Financial Account Information        
"Ireland (PDF, 101KB)",2017,20 December 2016,31 January 2017,31 May 2018 (September 2018),common-reporting-standard-(crs)             Bilateral CAAs on Automatic Exchange of Financial Account Information        
"Latvia (PDF, 178KB)",2017,20 December 2016,27 February 2017,31 May 2018 (September 2018),common-reporting-standard-(crs)             Bilateral CAAs on Automatic Exchange of Financial Account Information        
"Lithuania (PDF, 175KB)",2017,23 February 2017,5 June 2017,31 May 2018 (September 2018),common-reporting-standard-(crs)             Bilateral CAAs on Automatic Exchange of Financial Account Information        
"Malta (PDF, 102KB)",2017,15 December 2016,31 January 2017,31 May 2018 (September 2018),common-reporting-standard-(crs)             Bilateral CAAs on Automatic Exchange of Financial Account Information        
"Norway (PDF, 306KB)",2017,25 October 2016,31 January 2017,31 May 2018 (September 2018),common-reporting-standard-(crs)             Bilateral CAAs on Automatic Exchange of Financial Account Information        
"South Africa (PDF, 180KB)",2017,24 October 2016,31 January 2017,31 May 2018 (September 2018),common-reporting-standard-(crs)             Bilateral CAAs on Automatic Exchange of Financial Account Information        
"United Kingdom (PDF, 234KB)",2017,16 September 2016,31 January 2017,31 May 2018 (September 2018),common-reporting-standard-(crs)             Bilateral CAAs on Automatic Exchange of Financial Account Information        
"Switzerland (PDF, 486KB)",2018,17 July 2017,1 August 2019,31 May 2019 (September 2019),common-reporting-standard-(crs)             Bilateral CAAs on Automatic Exchange of Financial Account Information        
