Jurisdiction,Exchange relationship effective from,context
1. Andorra,FY 2018,country-by-country-reporting-(cbcr)             List of Jurisdictions        
2. Anguilla,FY 2019,country-by-country-reporting-(cbcr)             List of Jurisdictions        
3. Argentina,FY 2017,country-by-country-reporting-(cbcr)             List of Jurisdictions        
4. Aruba,FY beginning 1 May 2021,country-by-country-reporting-(cbcr)             List of Jurisdictions        
5. Australia,FY 2016,country-by-country-reporting-(cbcr)             List of Jurisdictions        
6. Austria,FY beginning 1 June 2016,country-by-country-reporting-(cbcr)             List of Jurisdictions        
7. Azerbaijan,FY 2020,country-by-country-reporting-(cbcr)             List of Jurisdictions        
8. Bahamas,FY 2019,country-by-country-reporting-(cbcr)             List of Jurisdictions        
9. Bahrain,FY 2021,country-by-country-reporting-(cbcr)             List of Jurisdictions        
10. Barbados,FY beginning 1 August 2021,country-by-country-reporting-(cbcr)             List of Jurisdictions        
11. Belgium,FY 2016,country-by-country-reporting-(cbcr)             List of Jurisdictions        
12. Belize,FY 2019,country-by-country-reporting-(cbcr)             List of Jurisdictions        
13. Bermuda,FY 2017,country-by-country-reporting-(cbcr)             List of Jurisdictions        
14. Brazil,FY 2016,country-by-country-reporting-(cbcr)             List of Jurisdictions        
15. British Virgin Islands,FY 2018,country-by-country-reporting-(cbcr)             List of Jurisdictions        
16. Bulgaria,FY 2016,country-by-country-reporting-(cbcr)             List of Jurisdictions        
17. Canada,FY 2017,country-by-country-reporting-(cbcr)             List of Jurisdictions        
18. Cayman Islands,FY 2016,country-by-country-reporting-(cbcr)             List of Jurisdictions        
19. Chile,FY 2017,country-by-country-reporting-(cbcr)             List of Jurisdictions        
20. China,FY 2017,country-by-country-reporting-(cbcr)             List of Jurisdictions        
21. Colombia,FY 2016,country-by-country-reporting-(cbcr)             List of Jurisdictions        
22. Costa Rica,FY 2017,country-by-country-reporting-(cbcr)             List of Jurisdictions        
23. Croatia,FY 2017,country-by-country-reporting-(cbcr)             List of Jurisdictions        
24. Curacao,FY 2018,country-by-country-reporting-(cbcr)             List of Jurisdictions        
