Name of Digital Service,Description,Information Needed,Estimated Submission and/or Processing Time,Guides/ FAQ,context
myTax Mail,A secure email system for you to correspond with IRAS on your employees' confidential tax matters.,"Your organisation's Unique Entity Number (UEN)/Entity IDYour SingpassEnquiry detailsSupporting attachments (if applicable)Supported File Type: MSG, PDF, PNG, JPG, JPEG, XLS, XLSX, TIF, TIFF, DOC, DOCXMaximum File Size: 10.00MB per FileImportant Note System may remove or modify the file after scanning for malicious and unacceptable content. You can attach up to 25 files with a total file size not exceeding 50.00MB. The file name must be in English and must not exceed 50 characters.","Submission 10 minutes  Processing We will reply to you within 5 working days. If we need more time, we will inform you.","FAQ (249KB, PDF)",digital-services table_0
Tax Clearance -  File Form IR21,For employers to e-File Form IR21 online. Authorised company staff and tax agents can log in to myTax Portal on behalf of the organisation/client using Singpass to access this e-Service. Note:i. There are certain scenarios where tax clearance is not required. Find out more about the exceptions.,Your organisation's Unique Entity Number (UEN)/Entity IDYour SingpassYour client's tax reference number (For tax agents only)Your employees' information Employment RecordsParticulars of spouse & children (if employee is married)Income Information,"Submission 10 minutes  Processing Generally, most Forms IR21 are processed within 21 days. Processing of tax clearance may take longer if the information given in Form IR21 is incomplete or when IRAS needs to seek clarification on the employment details submitted.  Authorised company staff and tax agents may check the processing status and view the Clearance Directive online.",Tips on e-Filing,digital-services table_0
Tax Clearance -  View Form IR21 Records,For authorised company staff and tax agents to:i. view submitted Form IR21 and its processing status;  ii. edit the draft Form IR21;  iii. submit the completed Form IR21; and  iv. amend the Form IR21 details provided in the previous filing.,Your organisation's Unique Entity Number (UEN)/Entity IDYour SingpassYour client's tax reference number (For tax agents only),N.A.,-,digital-services table_0
Tax Clearance -  View Tax Clearance Notices,For authorised company staff and tax agents to view:i. acknowledgments of e-Filed Form IR21; and  ii. Clearance Directives.  (Records for current and past 3 years are available.),Your organisation's Unique Entity Number (UEN)/Entity IDYour SingpassYour client's tax reference number (For tax agents only),You can view the Clearance Directive via myTaxPortal three working days from the date Form IR21 is processed.,,digital-services table_0
Submit Employment Income Records,For employers in the Auto-Inclusion Scheme (AIS) Prepare and submit your employees' employment income information using AIS software (Submit Employment Income Records at myTax Portal (Online Application) or your payroll software integrated with AIS Application Programming Interface  (API).  Find out more about the  Auto-Inclusion Scheme (AIS) for Employment income.,Your organisation's Unique Entity Number (UEN)/Entity ID Your SingpassYour employees' Employment Income InformationYour client's tax reference number (For tax agents only),Submission 30 minutes  Processing The employment income information submitted by the employer will be processed within 5 working days.,"User GuidesSubmit Employment Income Records at myTax Portal (PDF, 1.15 MB) Submitting an Amendment File (PDF, 1.18 MB) Amendment Checker (XLSM,  64 KB) - Check if amendment is required for error(s) made in earlier submission(s). Troubleshooting Guide on IR8A Import Template (PDF, 179 KB)",digital-services table_0
Register for AIS,Register your organisation for the Auto-Inclusion Scheme (AIS) for Employment Income.Registration is open from 1 Apr to 31 Dec each year.,"For employers without an existing Approver / Preparer role with IRAS' digital service, log in via ‘Personal Tax' Your organisation's Unique Entity Number (UEN)/Entity ID Your SingpassFor employers with an existing Approver / Preparer role with IRAS' digital service, log in via ‘Business Tax' Your organisation's Unique Entity Number (UEN)/Entity ID Your SingpassFor tax agent with an existing Approver / Preparer role with IRAS' digital service, log in via ‘Business Client' Your tax agent firm's Unique Entity Number (UEN)/Entity IDYour SingpassYour client's Unique Entity Number (UEN)/Entity ID",Submission 3-5 minutes  Processing Your registration will be processed immediately.,-,digital-services table_0
Search AIS Organisation,Check if your organisation is in the Auto-Inclusion Scheme (AIS) for Employment Income and the status of the file submission.,Your organisation's Unique Entity Number (UEN) or Organisation Name,N.A.,-,digital-services table_0
"Senior Employment Credit, Enabling Employment Credit and CPF Transition Offset – Eligibility Search and Breakdown Request","This e-Service allows you to view if you are eligible for the SEC, EEC and/or CTP Payout, based on the UEN or NRIC number that you have registered with CPFB in making CPF contributions to your employees. This e-Service also allows employers  to request for records of the SEC, EEC and/ or CTO Payout breakdown by the qualifying employees.",Your organisation's Unique Entity Number (UEN)/Entity IDContact PersonContact NumberEmail AddressJob Title,"Submission 3-5 minutes  Processing Ten working days  If the company has 500 and below qualifying employees, the records will be mailed to the business's registered address by ordinary mail.  If the company has more than 500 qualifying employees, the records will be provided to you via myTax Mail at myTax Portal within ten working days.",-,digital-services table_0
Jobs Growth Incentive – Breakdown Records,This e-Service allows employers to view records of the JGI Payout breakdown by the qualifying employees.,Your organisation's Unique Entity Number (UEN)/Entity IDYour Singpass,N.A.,-,digital-services table_0
Progressive Wage Credit Scheme – Eligibility Search and Breakdown Request,"This e-Service allows you to view if you are eligible for the PWCS Payout, based on the UEN or NRIC number that you have registered with CPFB in making CPF contributions to your employees. This e-Service also allows employers to request for  records of the PWCS Payout breakdown by the qualifying employees.",Your organisation's Unique Entity Number (UEN)/Entity IDContact PersonContact NumberEmail AddressJob Title,"Submission3-5 minutes ProcessingTen working days If the company has 500 and below qualifying employees, the records will be mailed to the business's registered address by ordinary mail. If the company has more than 500 qualifying employees, the records will be provided to you via myTax Mail at myTax Portal within ten working days.",-,digital-services table_0
