Qualifying window of new local hires expected to receive payouts:,Month where CPF contributions for new local hires from September 2020 to February 2023 is made for:,Gross wages for JGI in the month of hire will be derived based on mandatory CPF contributions paid on or before:,Month when JGI payout will be disbursed:,context
Payout 1,Payout 1,Payout 1,Payout 1,jobs-growth-incentive             Illustration of Phase 5 (New)        
Phase 1,September 2020,14 October 2020,March 2021,jobs-growth-incentive             Illustration of Phase 5 (New)        
Phase 1,October 2020,14 November 2020,March 2021,jobs-growth-incentive             Illustration of Phase 5 (New)        
Phase 1,November 2020,14 December 2020,March 2021,jobs-growth-incentive             Illustration of Phase 5 (New)        
Payout 2,Payout 2,Payout 2,Payout 2,jobs-growth-incentive             Illustration of Phase 5 (New)        
Phase1,December 2020,14 January 2021,June 2021,jobs-growth-incentive             Illustration of Phase 5 (New)        
Phase1,January 2021,14 February 2021,June 2021,jobs-growth-incentive             Illustration of Phase 5 (New)        
Phase1,February 2021,14 March 2021,June 2021,jobs-growth-incentive             Illustration of Phase 5 (New)        
Payout 3,Payout 3,Payout 3,Payout 3,jobs-growth-incentive             Illustration of Phase 5 (New)        
Phase 1 and 2,March 2021,14 April 2021,September 2021,jobs-growth-incentive             Illustration of Phase 5 (New)        
Phase 1 and 2,April 2021,14 May 2021,September 2021,jobs-growth-incentive             Illustration of Phase 5 (New)        
Phase 1 and 2,May 2021,14 June 2021,September 2021,jobs-growth-incentive             Illustration of Phase 5 (New)        
Payout 4,Payout 4,Payout 4,Payout 4,jobs-growth-incentive             Illustration of Phase 5 (New)        
Phase 1 and 2,June 2021,14 July 2021,December 2021,jobs-growth-incentive             Illustration of Phase 5 (New)        
Phase 1 and 2,July 2021,14 August 2021,December 2021,jobs-growth-incentive             Illustration of Phase 5 (New)        
Phase 1 and 2,August 2021,14 September 2021,December 2021,jobs-growth-incentive             Illustration of Phase 5 (New)        
Payout 5,Payout 5,Payout 5,Payout 5,jobs-growth-incentive             Illustration of Phase 5 (New)        
"Phase 1, 2 and 3",September 2021,14 October 2021,March 2022,jobs-growth-incentive             Illustration of Phase 5 (New)        
