Date,Day,Holiday image,Holiday name,context
1 January 2024,Monday,,"New Year's Day1 January 2024, Monday",public-holidays table_1
10 February 2024 11 February 2024,Saturday Sunday,,"Chinese New Year10 February 2024 - 11 February 2024, Saturday - SundayMonday, 12 February 2024, will be a public holiday if your rest day falls on 11 February 2024.",public-holidays table_1
29 March 2024,Friday,,"Good Friday29 March 2024, Friday",public-holidays table_1
10 April 2024,Wednesday,,"Hari Raya Puasa10 April 2024, Wednesday",public-holidays table_1
1 May 2024,Wednesday,,"Labour Day1 May 2024, Wednesday",public-holidays table_1
22 May 2024,Wednesday,,"Vesak Day22 May 2024, Wednesday",public-holidays table_1
17 June 2024,Monday,,"Hari Raya Haji17 June 2024, Monday",public-holidays table_1
9 August 2024,Friday,,"National Day9 August 2024, Friday",public-holidays table_1
31 October 2024,Thursday,,"Deepavali31 October 2024, Thursday",public-holidays table_1
25 December 2024,Wednesday,,"Christmas Day25 December 2024, Wednesday",public-holidays table_1
