S/N,Name of Organisation,Effective Date of Registration,context
1,CapitaLand Hope Foundation,22 May 2008,tax-deduction-scheme-for-grantmakers table_0
2,Rose Marie Khoo Foundation,1 Apr 2010,tax-deduction-scheme-for-grantmakers table_0
3,Ho Bee Foundation,23 Dec 2010,tax-deduction-scheme-for-grantmakers table_0
4,Wing Tai Foundation,23 Dec 2010,tax-deduction-scheme-for-grantmakers table_0
5,NTUC Fairprice Foundation Limited,13 Jan 2011,tax-deduction-scheme-for-grantmakers table_0
6,The Anglo-Chinese Schools Foundation Limited,29 Apr 2011,tax-deduction-scheme-for-grantmakers table_0
7,Keppel Care Foundation Ltd,7 Oct 2011,tax-deduction-scheme-for-grantmakers table_0
8,The Silent Foundation Ltd,6 Dec 2011,tax-deduction-scheme-for-grantmakers table_0
9,Ong Foundation,4 Sep 2012,tax-deduction-scheme-for-grantmakers table_0
10,S C Wong Foundation Trust,27 Nov 2013,tax-deduction-scheme-for-grantmakers table_0
11,DBS Foundation Limited,13 Apr 2015,tax-deduction-scheme-for-grantmakers table_0
12,Holywell Foundation Limited,16 Jul 2015,tax-deduction-scheme-for-grantmakers table_0
13,AT Capital Foundation Limited,12 Aug 2015,tax-deduction-scheme-for-grantmakers table_0
14,Lew Foundation,23 Sep 2015,tax-deduction-scheme-for-grantmakers table_0
15,Tan Mok Koon Charity Fund Limited,28 Dec 2015,tax-deduction-scheme-for-grantmakers table_0
16,ONERHT Foundation Ltd.,28 Nov 2016,tax-deduction-scheme-for-grantmakers table_0
17,Octava Foundation Limited,1 Mar 2017,tax-deduction-scheme-for-grantmakers table_0
18,Como Foundation,20 Mar 2017,tax-deduction-scheme-for-grantmakers table_0
19,Lotus Life Foundation Limited,23 Mar 2017,tax-deduction-scheme-for-grantmakers table_0
20,Chow Tai Fook Charity Foundation (Singapore) Limited,7 Sep 2017,tax-deduction-scheme-for-grantmakers table_0
21,Changi Foundation Limited,13 Mar 2019,tax-deduction-scheme-for-grantmakers table_0
22,UBS Optimus Foundation Singapore Ltd.,21 Nov 2019,tax-deduction-scheme-for-grantmakers table_0
23,TL Whang Foundation Limited,12 Dec 2019,tax-deduction-scheme-for-grantmakers table_0
24,Temasek Trust Ltd,1 Apr 2020,tax-deduction-scheme-for-grantmakers table_0
25,Soulrich Foundation Ltd,23 Apr 2020,tax-deduction-scheme-for-grantmakers table_0
26,The Masonic Charitable Fund,23 Oct 2020,tax-deduction-scheme-for-grantmakers table_0
27,Singapore Indian Fine Arts Society,15 Dec 2021,tax-deduction-scheme-for-grantmakers table_0
28,LU Foundation Ltd,26 Jan 2022,tax-deduction-scheme-for-grantmakers table_0
29,The Moh Family Foundation Limited,21 Feb 2022,tax-deduction-scheme-for-grantmakers table_0
30,Salleh Marican Foundation Ltd,21 Jul 2022,tax-deduction-scheme-for-grantmakers table_0
31,Dews of Joy Limited,3 Aug 2022,tax-deduction-scheme-for-grantmakers table_0
32,Low Tuck Kwong Foundation Limited,22 Feb 2023,tax-deduction-scheme-for-grantmakers table_0
33,Asia Community Foundation Ltd,9 Mar 2023,tax-deduction-scheme-for-grantmakers table_0
34,Karim Family Foundation,5 Jul 2023,tax-deduction-scheme-for-grantmakers table_0
35,Goh Foundation Limited,4 Oct 2023,tax-deduction-scheme-for-grantmakers table_0
36,Elaine And Eduardo Saverin Foundation Limited,4 Oct 2023,tax-deduction-scheme-for-grantmakers table_0
37,Do Good International Foundation Limited,24 Nov 2023,tax-deduction-scheme-for-grantmakers table_0
38,Amberheart Foundation Ltd.,5 Mar 2024,tax-deduction-scheme-for-grantmakers table_0
39,Paeonia Foundation Ltd.,5 Mar 2024,tax-deduction-scheme-for-grantmakers table_0
