YA,Withdrawal amount,Withdrawal amount subject to tax (50%),Tax payable,context
2024,"$40,000","$20,000",$0,withholding-tax-on-srs             Example 2: Withdrawal on or after prescribed retirement age        
2025,"$40,000","$20,000",$0,withholding-tax-on-srs             Example 2: Withdrawal on or after prescribed retirement age        
2026,"$40,000","$20,000",$0,withholding-tax-on-srs             Example 2: Withdrawal on or after prescribed retirement age        
2027,"$40,000","$20,000",$0,withholding-tax-on-srs             Example 2: Withdrawal on or after prescribed retirement age        
2028,"$40,000","$20,000",$0,withholding-tax-on-srs             Example 2: Withdrawal on or after prescribed retirement age        
2029,"$40,000","$20,000",$0,withholding-tax-on-srs             Example 2: Withdrawal on or after prescribed retirement age        
2030,"$40,000","$20,000",$0,withholding-tax-on-srs             Example 2: Withdrawal on or after prescribed retirement age        
2031,"$40,000","$20,000",$0,withholding-tax-on-srs             Example 2: Withdrawal on or after prescribed retirement age        
2032,"$40,000","$20,000",$0,withholding-tax-on-srs             Example 2: Withdrawal on or after prescribed retirement age        
2033,"$40,000","$20,000",$0,withholding-tax-on-srs             Example 2: Withdrawal on or after prescribed retirement age        
